Source,Target,religion_name,first_year,last_year
S Rickman,HOD,Quaker,,
S S Bell,APS,Quaker,1857,1866
S Scatterthwaite,APS,Quaker,1861,1862
S W Wright,APS,Quaker,1861,1861
Samuel Allen,APS,Quaker,1851,1864
Samuel Beck,APS,Quaker,1861,1866
Samuel Bewley,APS,Quaker,1866,1867
Samuel Clark,APS,Quaker,1839,1840
Samuel Darton,QCA,Quaker,1837,1839
Samuel Gurney,APS,Quaker,1838,1867
Samuel Gurney,HOD,Quaker,,
Samuel Gurney,HOD,Quaker,,
Samuel Hare,APS,Quaker,1861,1866
Samuel Jesper,APS,Quaker,1851,1852
Samuel King,APS,Quaker,1860,1867
Samuel Lucas,APS,Quaker,1851,1867
Samuel Priestman,APS,Quaker,1860,1865
Samuel Rosling,APS,Quaker,1866,1867
Samuel Rundall,APS,Quaker,1839,1839
Samuel Rutter,APS,Quaker,1862,1866
Samuel Sturge,APS,Quaker,1851,1855
Samuel Thompson,APS,Quaker,1839,1840
Samuel Tuke,APS,Quaker,1840,1860
Samuel Wheeler,APS,Quaker,1852,1854
Sarah Burgess,APS,Quaker,1866,1867
Sarah Head,APS,Quaker,1859,1867
Sarah Hotham,APS,Quaker,1860,1866
Sarah Rundell,APS,Quaker,1851,1856
Sarah Southall,APS,Quaker,1864,1867
Sarah Sterry,APS,Quaker,1860,1861
Sarah Styles,APS,Quaker,1866,1866
Septimus Warner,APS,Quaker,1862,1862
Summers Harford,APS,Quaker,1838,1855
Susan Pease,APS,Quaker,1851,1851
T Gill,APS,Quaker,1861,1862
T Gregory,APS,Quaker,1860,1862
T Hunt,APS,Quaker,1862,1862
T Jun Ashby,APS,Quaker,1861,1862
T Knott,APS,Quaker,1860,1860
Theodore Harris,APS,Quaker,1862,1867
Thomas (1) Hodgkin,QCA,Quaker,1839,1847
Thomas (1) Hodgkin,APS,Quaker,1838,1866
Thomas (1) Hodgkin,ESL,Quaker,1844,1862
Thomas (1) Hodgkin,HOD,Quaker,,
Thomas (1) Hodgkin,HOD,Quaker,,
Thomas Allis,APS,Quaker,1856,1867
Thomas Ashby,APS,Quaker,1861,1867
Thomas Binyon,APS,Quaker,1851,1860
Thomas Blain,APS,Quaker,1865,1867
Thomas Brewin,APS,Quaker,1860,1867
Thomas Burgess,APS,Quaker,1860,1861
Thomas Catchpool,APS,Quaker,1838,1855
Thomas Chalk,APS,Quaker,1839,1840
Thomas Christy,QCA,Quaker,1837,1839
Thomas Christy,APS,Quaker,1839,1840
Thomas Emmott,APS,Quaker,1866,1867
Thomas Evans,APS,Quaker,1860,1865
Thomas Fowell Buxton,APS,Quaker,1838,1867
Thomas Fowell Buxton,HOD,Quaker,,
Thomas Fowell Buxton,HOD,Quaker,,
Thomas Fowler,APS,Quaker,1838,1851
Thomas Graham,APS,Quaker,1851,1858
Thomas Harvey,APS,Quaker,1852,1867
Thomas Harvey,HOD,Quaker,,
Thomas Hughes,APS,Quaker,1867,1867
Thomas Hughes,HOD,Quaker,,
Thomas Jun Ashby,APS,Quaker,1865,1865
Thomas Jun Letchworth,APS,Quaker,1864,1866
Thomas King,APS,Quaker,1838,1840
Thomas Letchmore,APS,Quaker,1860,1860
Thomas Letchworth,APS,Quaker,1862,1867
Thomas M Sturge,APS,Quaker,1838,1866
Thomas Marriage,APS,Quaker,1861,1862
Thomas Maw,APS,Quaker,1839,1840
Thomas Norton,APS,Quaker,1860,1867
Thomas Pease,APS,Quaker,1861,1867
Thomas Short,APS,Quaker,1861,1867
Thomas Thompson,APS,Quaker,1862,1862
Thomas Turner,APS,Quaker,1862,1867
Thomas Wedmore,APS,Quaker,1861,1864
Thomas Westcombe,APS,Quaker,1860,1867
Thomas William Marsh,APS,Quaker,1860,1867
Thomas x Jun Letchmore,APS,Quaker,1860,1860
Thomas x Jun Letchworth,APS,Quaker,1862,1865
W Blaine,APS,Quaker,1861,1862
W Bott,APS,Quaker,1862,1862
W C Bowley,APS,Quaker,1860,1862
W C Horsnaill,APS,Quaker,1860,1861
W Catchpool,APS,Quaker,1855,1859
W Clemes,APS,Quaker,1853,1854
W D Crewdson,APS,Quaker,1838,1840
W D King,APS,Quaker,1862,1865
W Dillwyn Sims,APS,Quaker,1851,1865
W G Gibson,APS,Quaker,1862,1862
W G Gibson,HOD,Quaker,,
W Gayner,APS,Quaker,1855,1855
W Hewitson,APS,Quaker,1860,1860
W J Palmer,APS,Quaker,1862,1866
W Mann,APS,Quaker,1860,1860
W P Read,APS,Quaker,1862,1862
W R Williams,APS,Quaker,1860,1860
W Richardson,APS,Quaker,1860,1861
